,name,close_approach_date,miss_distance_km,relative_velocity_kmh,is_potentially_hazardous,absolute_magnitude_h,estimated_diameter_min,estimated_diameter_max,is_sentry_object
5453,678861 (2017 YH),2024-01-18,27297253.57880562,41778.5101153816,False,18.12,631.7641481849,1412.6675810887,False
5454,(2024 OD),2024-01-18,54463191.88266054,78067.1629046567,False,22.26,93.8760865307,209.9133109443,False
5455,(2024 SS2),2024-01-18,61971513.1667009,30380.3827630991,False,28.99,4.2320907965,9.4632427079,False
5456,1685 Toro (1948 OA),2024-01-20,19905935.69109094,58226.7217228283,False,14.28,3703.0107822286,8280.1838304779,False
5457,483508 (2003 CR1),2024-01-20,12757787.944278298,42878.8935250366,True,20.02,263.3631309525,588.897863577,False
5458,(2006 EW52),2024-01-20,60209776.3788499,24165.3832059429,False,22.4,88.0146520901,196.8067450894,False
5459,(2012 BV26),2024-01-20,35399473.7841718,40047.5707846171,False,22.11,100.5900390178,224.9261651032,False
5460,(2015 UH52),2024-01-20,12542782.250286058,42023.8626717744,False,26.02,16.617090174,37.1569432173,False
5461,(2018 LM4),2024-01-20,34398917.75185932,64710.386736772,False,18.72,479.2421155205,1071.6179479846,False
5462,(2020 QT3),2024-01-20,34706013.80025338,93867.8512802688,False,19.55,327.0054392819,731.2063912466,False
5463,(2020 UG7),2024-01-20,58076613.12247234,44432.0657664228,False,19.43,345.5850738412,772.7517171183,False
5464,(2020 YT),2024-01-20,65712118.3717257,86283.2334306071,False,25.51,21.0162379322,46.9937366478,False
5465,(2022 JL1),2024-01-20,62984797.629063815,51693.4843596637,False,26.53,13.1387780601,29.3792008837,False
5466,(2023 XX7),2024-01-20,7823906.951717773,22553.3224651629,False,24.34,36.0209345803,80.5452583346,False
5467,(2024 BC),2024-01-20,847089.681072576,68016.1578575746,False,27.17,9.7848681194,21.8796302659,False
5468,(2024 BL),2024-01-20,1790567.797990155,67821.1663800406,False,27.26,9.3876086531,20.9913310944,False
5469,(2024 BQ1),2024-01-20,345215.231246631,23750.520760822,False,30.07,2.5736825419,5.7549291163,True
5470,(2024 BU2),2024-01-20,13553751.730490088,27060.2115304341,False,23.18,61.4546821229,137.4168467624,False
5471,(2004 LO2),2024-01-22,47061356.277338915,68893.8633515718,False,25.0,26.58,59.4346868419,False
